q_str,t_str,a_str
采购结算指什么？,<triple id=572> 采购结算	含义	1.因供应商开票或采购结算不及时，导致欧冶进项税不足、货物安全被威胁不能被及时发现的风险。,<answer id=572> 1.因供应商开票或采购结算不及时，导致欧冶进项税不足、货物安全被威胁不能被及时发现的风险。
怎么解释采购结算？,<triple id=573> 采购结算	含义	1.因供应商开票或采购结算不及时，导致欧冶进项税不足、货物安全被威胁不能被及时发现的风险。,<answer id=573> 1.因供应商开票或采购结算不及时，导致欧冶进项税不足、货物安全被威胁不能被及时发现的风险。
采购价差核对是什么意思？,<triple id=579> 采购价差核对	含义	因采购价差出错导致销售结算价格错误、客户满意度下降及公司利润受损的风险。,<answer id=579> 因采购价差出错导致销售结算价格错误、客户满意度下降及公司利润受损的风险。
采购价差核对代表什么？,<triple id=580> 采购价差核对	含义	因采购价差出错导致销售结算价格错误、客户满意度下降及公司利润受损的风险。,<answer id=580> 因采购价差出错导致销售结算价格错误、客户满意度下降及公司利润受损的风险。
采购价差核对指什么？,<triple id=581> 采购价差核对	含义	因采购价差出错导致销售结算价格错误、客户满意度下降及公司利润受损的风险。,<answer id=581> 因采购价差出错导致销售结算价格错误、客户满意度下降及公司利润受损的风险。
怎么解释采购价差核对？,<triple id=582> 采购价差核对	含义	因采购价差出错导致销售结算价格错误、客户满意度下降及公司利润受损的风险。,<answer id=582> 因采购价差出错导致销售结算价格错误、客户满意度下降及公司利润受损的风险。
怎么理解采购价差核对？,<triple id=583> 采购价差核对	含义	因采购价差出错导致销售结算价格错误、客户满意度下降及公司利润受损的风险。,<answer id=583> 因采购价差出错导致销售结算价格错误、客户满意度下降及公司利润受损的风险。
采购价差核对的风险等级是多少？,<triple id=584> 采购价差核对	风险等级	低,<answer id=584> 低
采购价差核对是什么等级的风险？,<triple id=585> 采购价差核对	风险等级	低,<answer id=585> 低
客户折扣生成的定义是什么？,<triple id=587> 客户折扣生成	含义	客户折扣延迟生成、重复生成、错误生成，返利返差折扣分配错误导致影响客户体验或公司利益受损的风险。,<answer id=587> 客户折扣延迟生成、重复生成、错误生成，返利返差折扣分配错误导致影响客户体验或公司利益受损的风险。
客户折扣生成代表什么？,<triple id=589> 客户折扣生成	含义	客户折扣延迟生成、重复生成、错误生成，返利返差折扣分配错误导致影响客户体验或公司利益受损的风险。,<answer id=589> 客户折扣延迟生成、重复生成、错误生成，返利返差折扣分配错误导致影响客户体验或公司利益受损的风险。
怎么理解客户折扣生成？,<triple id=592> 客户折扣生成	含义	客户折扣延迟生成、重复生成、错误生成，返利返差折扣分配错误导致影响客户体验或公司利益受损的风险。,<answer id=592> 客户折扣延迟生成、重复生成、错误生成，返利返差折扣分配错误导致影响客户体验或公司利益受损的风险。
客户折扣生成的风险等级是多少？,<triple id=593> 客户折扣生成	风险等级	低,<answer id=593> 低
客户折扣生成是什么等级的风险？,<triple id=594> 客户折扣生成	风险等级	低,<answer id=594> 低
销售发票结算是什么意思？,<triple id=597> 销售发票结算	含义	1.销售超期未结算，导致客户满意度下降，业务量缩减甚至客户流失的风险。2.销售合同正折扣未生效，直接向客户开票，如客户无业务合作，将造成客户拒绝继续补款、客户拒绝接受无重量发票及公司利润受损的风险。,<answer id=597> 1.销售超期未结算，导致客户满意度下降，业务量缩减甚至客户流失的风险。2.销售合同正折扣未生效，直接向客户开票，如客户无业务合作，将造成客户拒绝继续补款、客户拒绝接受无重量发票及公司利润受损的风险。
销售发票结算代表什么？,<triple id=598> 销售发票结算	含义	1.销售超期未结算，导致客户满意度下降，业务量缩减甚至客户流失的风险。2.销售合同正折扣未生效，直接向客户开票，如客户无业务合作，将造成客户拒绝继续补款、客户拒绝接受无重量发票及公司利润受损的风险。,<answer id=598> 1.销售超期未结算，导致客户满意度下降，业务量缩减甚至客户流失的风险。2.销售合同正折扣未生效，直接向客户开票，如客户无业务合作，将造成客户拒绝继续补款、客户拒绝接受无重量发票及公司利润受损的风险。
销售发票结算指什么？,<triple id=599> 销售发票结算	含义	1.销售超期未结算，导致客户满意度下降，业务量缩减甚至客户流失的风险。2.销售合同正折扣未生效，直接向客户开票，如客户无业务合作，将造成客户拒绝继续补款、客户拒绝接受无重量发票及公司利润受损的风险。,<answer id=599> 1.销售超期未结算，导致客户满意度下降，业务量缩减甚至客户流失的风险。2.销售合同正折扣未生效，直接向客户开票，如客户无业务合作，将造成客户拒绝继续补款、客户拒绝接受无重量发票及公司利润受损的风险。
怎么解释销售发票结算？,<triple id=600> 销售发票结算	含义	1.销售超期未结算，导致客户满意度下降，业务量缩减甚至客户流失的风险。2.销售合同正折扣未生效，直接向客户开票，如客户无业务合作，将造成客户拒绝继续补款、客户拒绝接受无重量发票及公司利润受损的风险。,<answer id=600> 1.销售超期未结算，导致客户满意度下降，业务量缩减甚至客户流失的风险。2.销售合同正折扣未生效，直接向客户开票，如客户无业务合作，将造成客户拒绝继续补款、客户拒绝接受无重量发票及公司利润受损的风险。
怎么理解销售发票结算？,<triple id=601> 销售发票结算	含义	1.销售超期未结算，导致客户满意度下降，业务量缩减甚至客户流失的风险。2.销售合同正折扣未生效，直接向客户开票，如客户无业务合作，将造成客户拒绝继续补款、客户拒绝接受无重量发票及公司利润受损的风险。,<answer id=601> 1.销售超期未结算，导致客户满意度下降，业务量缩减甚至客户流失的风险。2.销售合同正折扣未生效，直接向客户开票，如客户无业务合作，将造成客户拒绝继续补款、客户拒绝接受无重量发票及公司利润受损的风险。
销售发票结算的风险等级是多少？,<triple id=602> 销售发票结算	风险等级	中,<answer id=602> 中
质量异议的含义是什么？,<triple id=604> 质量异议	含义	1.因质量异议处理人员与供方或客户沆瀣一气，导致质量理赔不公平、交易对方或公司利益受损的风险。2.统购分销业务因供方赔付金额低于公司赔付客户金额或供方超期不予赔付，造成公司利益受损的风险。,<answer id=604> 1.因质量异议处理人员与供方或客户沆瀣一气，导致质量理赔不公平、交易对方或公司利益受损的风险。2.统购分销业务因供方赔付金额低于公司赔付客户金额或供方超期不予赔付，造成公司利益受损的风险。
质量异议是什么意思？,<triple id=606> 质量异议	含义	1.因质量异议处理人员与供方或客户沆瀣一气，导致质量理赔不公平、交易对方或公司利益受损的风险。2.统购分销业务因供方赔付金额低于公司赔付客户金额或供方超期不予赔付，造成公司利益受损的风险。,<answer id=606> 1.因质量异议处理人员与供方或客户沆瀣一气，导致质量理赔不公平、交易对方或公司利益受损的风险。2.统购分销业务因供方赔付金额低于公司赔付客户金额或供方超期不予赔付，造成公司利益受损的风险。
质量异议的风险等级是多少？,<triple id=611> 质量异议	风险等级	低,<answer id=611> 低
质量异议是什么等级的风险？,<triple id=612> 质量异议	风险等级	低,<answer id=612> 低
毛利核算的含义是什么？,<triple id=613> 毛利核算	含义	毛利异常未及时发现导致公司利益受损的风险。,<answer id=613> 毛利异常未及时发现导致公司利益受损的风险。
毛利核算的定义是什么？,<triple id=614> 毛利核算	含义	毛利异常未及时发现导致公司利益受损的风险。,<answer id=614> 毛利异常未及时发现导致公司利益受损的风险。
毛利核算是什么意思？,<triple id=615> 毛利核算	含义	毛利异常未及时发现导致公司利益受损的风险。,<answer id=615> 毛利异常未及时发现导致公司利益受损的风险。
毛利核算指什么？,<triple id=617> 毛利核算	含义	毛利异常未及时发现导致公司利益受损的风险。,<answer id=617> 毛利异常未及时发现导致公司利益受损的风险。
怎么解释毛利核算？,<triple id=618> 毛利核算	含义	毛利异常未及时发现导致公司利益受损的风险。,<answer id=618> 毛利异常未及时发现导致公司利益受损的风险。
毛利核算的风险等级是多少？,<triple id=620> 毛利核算	风险等级	中,<answer id=620> 中
毛利核算是什么等级的风险？,<triple id=621> 毛利核算	风险等级	中,<answer id=621> 中
定期对账代表什么？,<triple id=625> 定期对账	含义	未定期对账，导致账目混乱、出现呆账、坏账的风险。,<answer id=625> 未定期对账，导致账目混乱、出现呆账、坏账的风险。
怎么理解定期对账？,<triple id=628> 定期对账	含义	未定期对账，导致账目混乱、出现呆账、坏账的风险。,<answer id=628> 未定期对账，导致账目混乱、出现呆账、坏账的风险。
定期对账的风险等级是多少？,<triple id=629> 定期对账	风险等级	低,<answer id=629> 低
定期对账是什么等级的风险？,<triple id=630> 定期对账	风险等级	低,<answer id=630> 低
钢厂余款处理的定义是什么？,<triple id=632> 钢厂余款处理	含义	钢厂退款周期过长，造成资金长期被占用的风险。跨区域在开展统购分销业务时，余款未在释放后即刻转订货使用，造成资金沉淀风险。,<answer id=632> 钢厂退款周期过长，造成资金长期被占用的风险。跨区域在开展统购分销业务时，余款未在释放后即刻转订货使用，造成资金沉淀风险。
钢厂余款处理是什么意思？,<triple id=633> 钢厂余款处理	含义	钢厂退款周期过长，造成资金长期被占用的风险。跨区域在开展统购分销业务时，余款未在释放后即刻转订货使用，造成资金沉淀风险。,<answer id=633> 钢厂退款周期过长，造成资金长期被占用的风险。跨区域在开展统购分销业务时，余款未在释放后即刻转订货使用，造成资金沉淀风险。
怎么解释钢厂余款处理？,<triple id=636> 钢厂余款处理	含义	钢厂退款周期过长，造成资金长期被占用的风险。跨区域在开展统购分销业务时，余款未在释放后即刻转订货使用，造成资金沉淀风险。,<answer id=636> 钢厂退款周期过长，造成资金长期被占用的风险。跨区域在开展统购分销业务时，余款未在释放后即刻转订货使用，造成资金沉淀风险。
怎么理解钢厂余款处理？,<triple id=637> 钢厂余款处理	含义	钢厂退款周期过长，造成资金长期被占用的风险。跨区域在开展统购分销业务时，余款未在释放后即刻转订货使用，造成资金沉淀风险。,<answer id=637> 钢厂退款周期过长，造成资金长期被占用的风险。跨区域在开展统购分销业务时，余款未在释放后即刻转订货使用，造成资金沉淀风险。
客户退款的含义是什么？,<triple id=640> 客户退款	含义	后结算业务存在钢厂余款未退回我司账户，但我司已对客户退款的风险。,<answer id=640> 后结算业务存在钢厂余款未退回我司账户，但我司已对客户退款的风险。
客户退款的定义是什么？,<triple id=641> 客户退款	含义	后结算业务存在钢厂余款未退回我司账户，但我司已对客户退款的风险。,<answer id=641> 后结算业务存在钢厂余款未退回我司账户，但我司已对客户退款的风险。
客户退款是什么意思？,<triple id=642> 客户退款	含义	后结算业务存在钢厂余款未退回我司账户，但我司已对客户退款的风险。,<answer id=642> 后结算业务存在钢厂余款未退回我司账户，但我司已对客户退款的风险。
怎么解释客户退款？,<triple id=645> 客户退款	含义	后结算业务存在钢厂余款未退回我司账户，但我司已对客户退款的风险。,<answer id=645> 后结算业务存在钢厂余款未退回我司账户，但我司已对客户退款的风险。
怎么理解客户退款？,<triple id=646> 客户退款	含义	后结算业务存在钢厂余款未退回我司账户，但我司已对客户退款的风险。,<answer id=646> 后结算业务存在钢厂余款未退回我司账户，但我司已对客户退款的风险。
客户退款的风险等级是多少？,<triple id=647> 客户退款	风险等级	低,<answer id=647> 低
合同结案的定义是什么？,<triple id=650> 合同结案	含义	合同提前结案导致客户资金提前被释放的风险。,<answer id=650> 合同提前结案导致客户资金提前被释放的风险。
合同结案代表什么？,<triple id=652> 合同结案	含义	合同提前结案导致客户资金提前被释放的风险。,<answer id=652> 合同提前结案导致客户资金提前被释放的风险。
怎么理解合同结案？,<triple id=655> 合同结案	含义	合同提前结案导致客户资金提前被释放的风险。,<answer id=655> 合同提前结案导致客户资金提前被释放的风险。
合同结案是什么等级的风险？,<triple id=657> 合同结案	风险等级	低,<answer id=657> 低
业务归档的含义是什么？,<triple id=658> 业务归档	含义	1.归档合同与系统合同不一致、归档合同不完整、合同未签字导致与供方或客户发生合同纠纷时，公司无法拿出有效的法律凭证；2.重要线下业务单据未归档，导致超授权开展业务无相关审批依据的风险。,<answer id=658> 1.归档合同与系统合同不一致、归档合同不完整、合同未签字导致与供方或客户发生合同纠纷时，公司无法拿出有效的法律凭证；2.重要线下业务单据未归档，导致超授权开展业务无相关审批依据的风险。
业务归档的定义是什么？,<triple id=659> 业务归档	含义	1.归档合同与系统合同不一致、归档合同不完整、合同未签字导致与供方或客户发生合同纠纷时，公司无法拿出有效的法律凭证；2.重要线下业务单据未归档，导致超授权开展业务无相关审批依据的风险。,<answer id=659> 1.归档合同与系统合同不一致、归档合同不完整、合同未签字导致与供方或客户发生合同纠纷时，公司无法拿出有效的法律凭证；2.重要线下业务单据未归档，导致超授权开展业务无相关审批依据的风险。
业务归档代表什么？,<triple id=661> 业务归档	含义	1.归档合同与系统合同不一致、归档合同不完整、合同未签字导致与供方或客户发生合同纠纷时，公司无法拿出有效的法律凭证；2.重要线下业务单据未归档，导致超授权开展业务无相关审批依据的风险。,<answer id=661> 1.归档合同与系统合同不一致、归档合同不完整、合同未签字导致与供方或客户发生合同纠纷时，公司无法拿出有效的法律凭证；2.重要线下业务单据未归档，导致超授权开展业务无相关审批依据的风险。
业务归档指什么？,<triple id=662> 业务归档	含义	1.归档合同与系统合同不一致、归档合同不完整、合同未签字导致与供方或客户发生合同纠纷时，公司无法拿出有效的法律凭证；2.重要线下业务单据未归档，导致超授权开展业务无相关审批依据的风险。,<answer id=662> 1.归档合同与系统合同不一致、归档合同不完整、合同未签字导致与供方或客户发生合同纠纷时，公司无法拿出有效的法律凭证；2.重要线下业务单据未归档，导致超授权开展业务无相关审批依据的风险。
怎么解释业务归档？,<triple id=663> 业务归档	含义	1.归档合同与系统合同不一致、归档合同不完整、合同未签字导致与供方或客户发生合同纠纷时，公司无法拿出有效的法律凭证；2.重要线下业务单据未归档，导致超授权开展业务无相关审批依据的风险。,<answer id=663> 1.归档合同与系统合同不一致、归档合同不完整、合同未签字导致与供方或客户发生合同纠纷时，公司无法拿出有效的法律凭证；2.重要线下业务单据未归档，导致超授权开展业务无相关审批依据的风险。
业务归档的风险等级是多少？,<triple id=665> 业务归档	风险等级	低,<answer id=665> 低
长龄库存是什么意思？,<triple id=669> 长龄库存	含义	有去向业务中客户超过“最后付款日2”30个自然日仍然未支付货款的情况应启动应急处置流程；无去向业务从系统入库起算库龄超过90天的情况应启动应急处置流程。,<answer id=669> 有去向业务中客户超过“最后付款日2”30个自然日仍然未支付货款的情况应启动应急处置流程；无去向业务从系统入库起算库龄超过90天的情况应启动应急处置流程。
长龄库存代表什么？,<triple id=670> 长龄库存	含义	有去向业务中客户超过“最后付款日2”30个自然日仍然未支付货款的情况应启动应急处置流程；无去向业务从系统入库起算库龄超过90天的情况应启动应急处置流程。,<answer id=670> 有去向业务中客户超过“最后付款日2”30个自然日仍然未支付货款的情况应启动应急处置流程；无去向业务从系统入库起算库龄超过90天的情况应启动应急处置流程。
怎么理解长龄库存？,<triple id=673> 长龄库存	含义	有去向业务中客户超过“最后付款日2”30个自然日仍然未支付货款的情况应启动应急处置流程；无去向业务从系统入库起算库龄超过90天的情况应启动应急处置流程。,<answer id=673> 有去向业务中客户超过“最后付款日2”30个自然日仍然未支付货款的情况应启动应急处置流程；无去向业务从系统入库起算库龄超过90天的情况应启动应急处置流程。
长龄库存的类型是什么？,<triple id=676> 长龄库存	类型	物流类,<answer id=676> 物流类
授信的含义是什么？,<triple id=678> 授信	含义	信用政策按交易对象性质分为采购信用政策（供应商授信）和销售信用政策（客户授信）。供应商授信是债权成立时点为支付采购预付款或为获得服务/劳务支付预付款。支付方式包括现款、票据（含商业承兑汇票）、电子债权凭证（含通宝或类似债权凭证）及其他银行支付工具。债权结束时点为实质已取得货物、服务/劳务控制权。销售信用政策具体指在销售业务中，提供货物（含物权转移凭证）、服务/劳务在前，取得相应款项在后的行为。债权结束时点为收到客户欠款。,<answer id=678> 信用政策按交易对象性质分为采购信用政策（供应商授信）和销售信用政策（客户授信）。供应商授信是债权成立时点为支付采购预付款或为获得服务/劳务支付预付款。支付方式包括现款、票据（含商业承兑汇票）、电子债权凭证（含通宝或类似债权凭证）及其他银行支付工具。债权结束时点为实质已取得货物、服务/劳务控制权。销售信用政策具体指在销售业务中，提供货物（含物权转移凭证）、服务/劳务在前，取得相应款项在后的行为。债权结束时点为收到客户欠款。
授信的定义是什么？,<triple id=679> 授信	含义	信用政策按交易对象性质分为采购信用政策（供应商授信）和销售信用政策（客户授信）。供应商授信是债权成立时点为支付采购预付款或为获得服务/劳务支付预付款。支付方式包括现款、票据（含商业承兑汇票）、电子债权凭证（含通宝或类似债权凭证）及其他银行支付工具。债权结束时点为实质已取得货物、服务/劳务控制权。销售信用政策具体指在销售业务中，提供货物（含物权转移凭证）、服务/劳务在前，取得相应款项在后的行为。债权结束时点为收到客户欠款。,<answer id=679> 信用政策按交易对象性质分为采购信用政策（供应商授信）和销售信用政策（客户授信）。供应商授信是债权成立时点为支付采购预付款或为获得服务/劳务支付预付款。支付方式包括现款、票据（含商业承兑汇票）、电子债权凭证（含通宝或类似债权凭证）及其他银行支付工具。债权结束时点为实质已取得货物、服务/劳务控制权。销售信用政策具体指在销售业务中，提供货物（含物权转移凭证）、服务/劳务在前，取得相应款项在后的行为。债权结束时点为收到客户欠款。
授信是什么意思？,<triple id=680> 授信	含义	信用政策按交易对象性质分为采购信用政策（供应商授信）和销售信用政策（客户授信）。供应商授信是债权成立时点为支付采购预付款或为获得服务/劳务支付预付款。支付方式包括现款、票据（含商业承兑汇票）、电子债权凭证（含通宝或类似债权凭证）及其他银行支付工具。债权结束时点为实质已取得货物、服务/劳务控制权。销售信用政策具体指在销售业务中，提供货物（含物权转移凭证）、服务/劳务在前，取得相应款项在后的行为。债权结束时点为收到客户欠款。,<answer id=680> 信用政策按交易对象性质分为采购信用政策（供应商授信）和销售信用政策（客户授信）。供应商授信是债权成立时点为支付采购预付款或为获得服务/劳务支付预付款。支付方式包括现款、票据（含商业承兑汇票）、电子债权凭证（含通宝或类似债权凭证）及其他银行支付工具。债权结束时点为实质已取得货物、服务/劳务控制权。销售信用政策具体指在销售业务中，提供货物（含物权转移凭证）、服务/劳务在前，取得相应款项在后的行为。债权结束时点为收到客户欠款。
授信代表什么？,<triple id=681> 授信	含义	信用政策按交易对象性质分为采购信用政策（供应商授信）和销售信用政策（客户授信）。供应商授信是债权成立时点为支付采购预付款或为获得服务/劳务支付预付款。支付方式包括现款、票据（含商业承兑汇票）、电子债权凭证（含通宝或类似债权凭证）及其他银行支付工具。债权结束时点为实质已取得货物、服务/劳务控制权。销售信用政策具体指在销售业务中，提供货物（含物权转移凭证）、服务/劳务在前，取得相应款项在后的行为。债权结束时点为收到客户欠款。,<answer id=681> 信用政策按交易对象性质分为采购信用政策（供应商授信）和销售信用政策（客户授信）。供应商授信是债权成立时点为支付采购预付款或为获得服务/劳务支付预付款。支付方式包括现款、票据（含商业承兑汇票）、电子债权凭证（含通宝或类似债权凭证）及其他银行支付工具。债权结束时点为实质已取得货物、服务/劳务控制权。销售信用政策具体指在销售业务中，提供货物（含物权转移凭证）、服务/劳务在前，取得相应款项在后的行为。债权结束时点为收到客户欠款。
授信指什么？,<triple id=682> 授信	含义	信用政策按交易对象性质分为采购信用政策（供应商授信）和销售信用政策（客户授信）。供应商授信是债权成立时点为支付采购预付款或为获得服务/劳务支付预付款。支付方式包括现款、票据（含商业承兑汇票）、电子债权凭证（含通宝或类似债权凭证）及其他银行支付工具。债权结束时点为实质已取得货物、服务/劳务控制权。销售信用政策具体指在销售业务中，提供货物（含物权转移凭证）、服务/劳务在前，取得相应款项在后的行为。债权结束时点为收到客户欠款。,<answer id=682> 信用政策按交易对象性质分为采购信用政策（供应商授信）和销售信用政策（客户授信）。供应商授信是债权成立时点为支付采购预付款或为获得服务/劳务支付预付款。支付方式包括现款、票据（含商业承兑汇票）、电子债权凭证（含通宝或类似债权凭证）及其他银行支付工具。债权结束时点为实质已取得货物、服务/劳务控制权。销售信用政策具体指在销售业务中，提供货物（含物权转移凭证）、服务/劳务在前，取得相应款项在后的行为。债权结束时点为收到客户欠款。
怎么解释授信？,<triple id=683> 授信	含义	信用政策按交易对象性质分为采购信用政策（供应商授信）和销售信用政策（客户授信）。供应商授信是债权成立时点为支付采购预付款或为获得服务/劳务支付预付款。支付方式包括现款、票据（含商业承兑汇票）、电子债权凭证（含通宝或类似债权凭证）及其他银行支付工具。债权结束时点为实质已取得货物、服务/劳务控制权。销售信用政策具体指在销售业务中，提供货物（含物权转移凭证）、服务/劳务在前，取得相应款项在后的行为。债权结束时点为收到客户欠款。,<answer id=683> 信用政策按交易对象性质分为采购信用政策（供应商授信）和销售信用政策（客户授信）。供应商授信是债权成立时点为支付采购预付款或为获得服务/劳务支付预付款。支付方式包括现款、票据（含商业承兑汇票）、电子债权凭证（含通宝或类似债权凭证）及其他银行支付工具。债权结束时点为实质已取得货物、服务/劳务控制权。销售信用政策具体指在销售业务中，提供货物（含物权转移凭证）、服务/劳务在前，取得相应款项在后的行为。债权结束时点为收到客户欠款。
怎么理解授信？,<triple id=684> 授信	含义	信用政策按交易对象性质分为采购信用政策（供应商授信）和销售信用政策（客户授信）。供应商授信是债权成立时点为支付采购预付款或为获得服务/劳务支付预付款。支付方式包括现款、票据（含商业承兑汇票）、电子债权凭证（含通宝或类似债权凭证）及其他银行支付工具。债权结束时点为实质已取得货物、服务/劳务控制权。销售信用政策具体指在销售业务中，提供货物（含物权转移凭证）、服务/劳务在前，取得相应款项在后的行为。债权结束时点为收到客户欠款。,<answer id=684> 信用政策按交易对象性质分为采购信用政策（供应商授信）和销售信用政策（客户授信）。供应商授信是债权成立时点为支付采购预付款或为获得服务/劳务支付预付款。支付方式包括现款、票据（含商业承兑汇票）、电子债权凭证（含通宝或类似债权凭证）及其他银行支付工具。债权结束时点为实质已取得货物、服务/劳务控制权。销售信用政策具体指在销售业务中，提供货物（含物权转移凭证）、服务/劳务在前，取得相应款项在后的行为。债权结束时点为收到客户欠款。
授信属于什么类型？,<triple id=685> 授信	类型	信用类,<answer id=685> 信用类
授信属于什么类别？,<triple id=686> 授信	类型	信用类,<answer id=686> 信用类
授信的类型是什么？,<triple id=687> 授信	类型	信用类,<answer id=687> 信用类
授信的类别是什么？,<triple id=688> 授信	类型	信用类,<answer id=688> 信用类
代收代付的含义是什么？,<triple id=689> 代收代付	含义	代收代付指欧冶材料或地区公司与物流供方签订运输合同，代物流供方收取用户运杂费，物流供方开具抬头为用户的运杂费发票通过欧冶材料或地区公司转交给用户，欧冶材料或地区公司凭发票复印件与物流供方进行结算。,<answer id=689> 代收代付指欧冶材料或地区公司与物流供方签订运输合同，代物流供方收取用户运杂费，物流供方开具抬头为用户的运杂费发票通过欧冶材料或地区公司转交给用户，欧冶材料或地区公司凭发票复印件与物流供方进行结算。
代收代付代表什么？,<triple id=692> 代收代付	含义	代收代付指欧冶材料或地区公司与物流供方签订运输合同，代物流供方收取用户运杂费，物流供方开具抬头为用户的运杂费发票通过欧冶材料或地区公司转交给用户，欧冶材料或地区公司凭发票复印件与物流供方进行结算。,<answer id=692> 代收代付指欧冶材料或地区公司与物流供方签订运输合同，代物流供方收取用户运杂费，物流供方开具抬头为用户的运杂费发票通过欧冶材料或地区公司转交给用户，欧冶材料或地区公司凭发票复印件与物流供方进行结算。
代收代付指什么？,<triple id=693> 代收代付	含义	代收代付指欧冶材料或地区公司与物流供方签订运输合同，代物流供方收取用户运杂费，物流供方开具抬头为用户的运杂费发票通过欧冶材料或地区公司转交给用户，欧冶材料或地区公司凭发票复印件与物流供方进行结算。,<answer id=693> 代收代付指欧冶材料或地区公司与物流供方签订运输合同，代物流供方收取用户运杂费，物流供方开具抬头为用户的运杂费发票通过欧冶材料或地区公司转交给用户，欧冶材料或地区公司凭发票复印件与物流供方进行结算。
代收代付属于什么类型？,<triple id=696> 代收代付	类型	业务类,<answer id=696> 业务类
代收代付的类别是什么？,<triple id=699> 代收代付	类型	业务类,<answer id=699> 业务类
采购价差的含义是什么？,<triple id=700> 采购价差	含义	采购价差折扣指根据与客户的销售合同约定货款后结算，向客户收取或给予客户的货款折扣；系统新增的采购价差折扣为销售资源对应的采购结算金额与采购入库金额差值。,<answer id=700> 采购价差折扣指根据与客户的销售合同约定货款后结算，向客户收取或给予客户的货款折扣；系统新增的采购价差折扣为销售资源对应的采购结算金额与采购入库金额差值。
采购价差是什么意思？,<triple id=702> 采购价差	含义	采购价差折扣指根据与客户的销售合同约定货款后结算，向客户收取或给予客户的货款折扣；系统新增的采购价差折扣为销售资源对应的采购结算金额与采购入库金额差值。,<answer id=702> 采购价差折扣指根据与客户的销售合同约定货款后结算，向客户收取或给予客户的货款折扣；系统新增的采购价差折扣为销售资源对应的采购结算金额与采购入库金额差值。
采购价差代表什么？,<triple id=703> 采购价差	含义	采购价差折扣指根据与客户的销售合同约定货款后结算，向客户收取或给予客户的货款折扣；系统新增的采购价差折扣为销售资源对应的采购结算金额与采购入库金额差值。,<answer id=703> 采购价差折扣指根据与客户的销售合同约定货款后结算，向客户收取或给予客户的货款折扣；系统新增的采购价差折扣为销售资源对应的采购结算金额与采购入库金额差值。
怎么解释采购价差？,<triple id=705> 采购价差	含义	采购价差折扣指根据与客户的销售合同约定货款后结算，向客户收取或给予客户的货款折扣；系统新增的采购价差折扣为销售资源对应的采购结算金额与采购入库金额差值。,<answer id=705> 采购价差折扣指根据与客户的销售合同约定货款后结算，向客户收取或给予客户的货款折扣；系统新增的采购价差折扣为销售资源对应的采购结算金额与采购入库金额差值。
采购价差属于什么类别？,<triple id=708> 采购价差	类型	业务类,<answer id=708> 业务类
采购价差的类型是什么？,<triple id=709> 采购价差	类型	业务类,<answer id=709> 业务类
采购价差的类别是什么？,<triple id=710> 采购价差	类型	业务类,<answer id=710> 业务类
返利返差的定义是什么？,<triple id=712> 返利返差	含义	返利返差折扣指根据与客户的销售合同约定，定期给予客户的结算优惠。,<answer id=712> 返利返差折扣指根据与客户的销售合同约定，定期给予客户的结算优惠。
返利返差是什么意思？,<triple id=713> 返利返差	含义	返利返差折扣指根据与客户的销售合同约定，定期给予客户的结算优惠。,<answer id=713> 返利返差折扣指根据与客户的销售合同约定，定期给予客户的结算优惠。
返利返差代表什么？,<triple id=714> 返利返差	含义	返利返差折扣指根据与客户的销售合同约定，定期给予客户的结算优惠。,<answer id=714> 返利返差折扣指根据与客户的销售合同约定，定期给予客户的结算优惠。
返利返差指什么？,<triple id=715> 返利返差	含义	返利返差折扣指根据与客户的销售合同约定，定期给予客户的结算优惠。,<answer id=715> 返利返差折扣指根据与客户的销售合同约定，定期给予客户的结算优惠。
返利返差的类型是什么？,<triple id=720> 返利返差	类型	业务类,<answer id=720> 业务类
返利返差的类别是什么？,<triple id=721> 返利返差	类型	业务类,<answer id=721> 业务类
定金的含义是什么？,<triple id=722> 定金	含义	订立合同的双发可以自由约定定金的数额，但是最高不能超过主合同标的额的百分之二十，超过部分不具有定金的效力。在我国的合同的订立过程中，当事人可以约定一方向对方给付定金作为债权的担保。定金合同自实际交付定金时成立。,<answer id=722> 订立合同的双发可以自由约定定金的数额，但是最高不能超过主合同标的额的百分之二十，超过部分不具有定金的效力。在我国的合同的订立过程中，当事人可以约定一方向对方给付定金作为债权的担保。定金合同自实际交付定金时成立。
