:ID,名称,:Label,风险等级,含义
合规性风险,合规性风险,关键风险点,高,公司在业务评审及执行过程中，因违反国资委及中国宝武相关禁令，而被问责或发生重大财务损失的风险。
业务人员职业素养风险,业务人员职业素养风险,关键风险点,中,由于对产品了解不充分、对钢铁市场不熟悉，营销人员开展业务所带来的经营风险、道德风险。
市场情报收集风险,市场情报收集风险,关键风险点,中,由于对市场行情、钢厂情况了解不充分，给公司经营带来风险。
供应商资质及资信材料风险,供应商资质及资信材料风险,关键风险点,中,由于尽调不充分，导致与资质较差的供应商开展业务所带来的经营风险。
统购分销供方准入风险,统购分销供方准入风险,关键风险点,中,由于供应商的选择不当导致源头风险，形成后续交付、发票、质量等一系列潜在业务风险。
客户管理风险,客户管理风险,关键风险点,低,由于公司对客户服务工作管理不到位，导致客户对公司的满意度低，造成客户流失的风险。
系统开户风险,系统开户风险,关键风险点,中,客商提供的开户资料不完整，导致后续合同执行过程中业务中断，引起用户体验差的风险。
与不良交易对象开展业务风险,与不良交易对象开展业务风险,关键风险点,中,与不良交易对象开展业务，导致公司存在经营风险或廉洁风险。
钢厂货物信息获取风险,钢厂货物信息获取风险,关键风险点,中,钢厂不提供货物出厂信息或出厂信息获取不畅，货权不受控，导致公司资金及货物存在风险。
统购分销供方复评风险,统购分销供方复评风险,关键风险点,中,对供应商业务执行缺少评价、资信变化未及时获取，导致不合格供应商继续进行业务往来的风险。
开立公司银行账户风险,开立公司银行账户风险,关键风险点,低,产生资金活动风险，影响企业货币资金安全及相关岗位人员从业。
仓库准入风险,仓库准入风险,关键风险点,高,准入评价不充分，导致非合格供方进入供方白名单，从而造成货物损失的风险。
仓库选择风险,仓库选择风险,关键风险点,高,选择的仓库为仓商一体仓库，即仓库实际从事钢材贸易业务，可能存在仓库与贸易商勾结，监守自盗的货权控制风险。
承运商准入风险,承运商准入风险,关键风险点,中,准入评价不充分，准入的承运商无法满足运输需求，造成发生运输纠纷或者货物损失的风险。
承运商选择风险,承运商选择风险,关键风险点,中,因承运商选择不当，发生悔单、货损等情况导致公司利益受损的风险。
交易对象信用风险管理风险,交易对象信用风险管理风险,关键风险点,中,授信对象财务指标和经营状况不佳，导致公司资金风险。
授信占用和释放的节点风险,授信占用和释放的节点风险,关键风险点,中,授信占用和释放的节点不准确，存在资金风险。
产品业务系统权限分配风险,产品业务系统权限分配风险,关键风险点,低,因员工岗位与产品业务系统权限不匹配，造成超权限处理业务、操作错误及信息泄密的风险。
交易职责授权风险,交易职责授权风险,关键风险点,低,未授权或超权限，导致业务风险未被有效识别。
授权签约风险,授权签约风险,关键风险点,中,因超授权签约，对业务风险把控不充分，造成公司发生合同纠纷或经济损失的风险。
三新业务开展前的评估审批风险,三新业务开展前的评估审批风险,关键风险点,中,因未经有效评估和审批开展三新业务，导致对新业务风险预估不足，公司利益受损的风险。
非标合同条款风险,非标合同条款风险,关键风险点,低,因非标合同中存在对我方不利条款，导致发生合同纠纷时公司利益受损的风险
合同条款内容风险,合同条款内容风险,关键风险点,中,合同条款内容描述不符合总额法确认收入的条件，对总额法确认收入存在误解的风险。
合同金额约定风险,合同金额约定风险,关键风险点,中,未约定合同税率，导致印花税计算基数按照合同含税金额计算造成印花税多交；或因税率变动带来的税务风险。
采购计划风险,采购计划风险,关键风险点,低,采购计划变动大，会造成备付金冗余或款项不能及时支付。
采购复审风险,采购复审风险,关键风险点,低,因合同文本和系统合同信息不一致，造成合同实际执行时失去控制，公司利益可能受损的风险。
关联关系风险,关联关系风险,关键风险点,高,因钢厂与客户、仓库存在关联关系，导致欧冶资金或货权失控甚至灭失的风险。
采购审批风险,采购审批风险,关键风险点,低,因采购审批把控不严导致公司利益受损的风险。
销售合同签约风险,销售合同签约风险,关键风险点,低,销售合同文本客户签约不规范或合同正本长期不能获得，导致销售合同法律效力降低的风险。
销售合同文本关键用词风险,销售合同文本关键用词风险,关键风险点,中,因销售合同文本用词不规范，导致责权不对等、法律效力不足的风险。
合同变更风险,合同变更风险,关键风险点,低,合同变更操作不规范、变更单据不全导致合同法律效力下降或货权失控等风险。
价格及结算方式风险识别风险,价格及结算方式风险识别风险,关键风险点,中,"统购分销产品价格及结算方式管理要求不清晰,导致产生经营风险、客户抱怨的风险。"
挂牌价格风险,挂牌价格风险,关键风险点,中,统购分销资源价格投放错误，造成客户满意度下降或欧冶利益受损的风险。
印章使用风险,印章使用风险,关键风险点,中,用印不规范导致货权或资金损失的风险。
跌价风险,跌价风险,关键风险点,高,行情大幅波动时，客户未按合同约定补足相应货款导致客户实际弃货违约，引起公司受损的风险。
资金计划风险,资金计划风险,关键风险点,中,未及时、准确编制资金计划，导致无法在约定时间内支付款项、或资金在供方账上长期占用的风险。
付款申请的发起风险,付款申请的发起风险,关键风险点,低,因为付款条件未达到发起采购付款或采购付款申请信息不准确导致欧冶资金损失的风险。
供方自由款及时使用风险,供方自由款及时使用风险,关键风险点,低,因对供应商自由款未及时使用或退款，造成供应商授信逾期、资金利用效率低下甚至无法收回的风险。
供应商授信逾期超额风险,供应商授信逾期超额风险,关键风险点,低,供应商授信逾期或超额导致公司资金周转效率下降甚至出现坏账、呆账的风险。
采用线下付款方式风险,采用线下付款方式风险,关键风险点,中,导致向供方付款延误或欧冶资金灭失的风险。
审批及拨付为同一人风险,审批及拨付为同一人风险,关键风险点,中,存在资金被挪用、贪污舞弊的风险。
代收代付资金未取得相关证明风险,代收代付资金未取得相关证明风险,关键风险点,中,存在第三方单位以“返利不当”要求返还资金的风险。
现款和银票混配风险,现款和银票混配风险,关键风险点,低,因客户付款方式选择错误，导致公司票据收益损失的风险。
票据运作风险,票据运作风险,关键风险点,中,票据运作不当造成资金收益减少的风险。
票据折现风险,票据折现风险,关键风险点,低,票据折现错误，导致客户或欧冶资金受损的风险。
票据收取风险,票据收取风险,关键风险点,中,票据收取不当，使票据无法承兑或无法及时转让的风险。
分批付款风险,分批付款风险,关键风险点,中,分批付款的比例与采购合同约定不符，造成早付或晚付的风险。
资金释放风险,资金释放风险,关键风险点,中,定金提前释放导致无法对客户约束的风险。
两金管理风险,两金管理风险,关键风险点,中,因为两金过高导致公司资金周转压力大，资产运行质量下降，不良率上升的风险。
钢厂跟单风险,钢厂跟单风险,关键风险点,高,钢厂提供出厂信息存在虚假信息、信息不全或滞后，跟单人员在跟单过程中信息有遗漏，导致货权失控的风险。
钢厂超发或欠发风险,钢厂超发或欠发风险,关键风险点,低,1.因钢厂严重超发客户不接受，导致公司需另外寻源销售的营销风险；2.因钢厂严重欠发，导致客户向欧冶索要违约金、欧冶资金被钢厂大量占用，欧冶利益受损的风险。
发货指令传递风险,发货指令传递风险,关键风险点,高,由于钢厂或客户擅自变更交货地、钢厂违约直发、客户或营销员私自出函通知钢厂或承运商直发货物并变更交货地，造成欧冶货权失控的风险。
钢厂延期交货风险,钢厂延期交货风险,关键风险点,中,钢厂延期交货导致授信逾期的风险。
运输环节风险,运输环节风险,关键风险点,高,1.交付节点所选港口、码头、铁路场站，相关场站不能及时提供信息且未派驻库监管，造成货权失控的风险；2.提货不成功或提货凭证错误，或者提货时间过长，导致产生空车费和滞期费等成本，造成承运商损失的而向我司索赔的风险；3.未采取正确的作业方式导致货物在装运卸过程中发生损坏，造成货物质量纠纷的风险；4.承运商提货后，未对货物信息和实物信息进行校验，影响客户交付的风险。
货物入库风险,货物入库风险,关键风险点,中,1.由于仓库原因导致不能及时正常完成货物收发存（含仓库爆仓）；或仓库提前入库或未正确入库，造成货物和财产损失的风险；2.在途入库，货物未到制定仓库，授信提前释放，存在货权失控或实物与货单不符的风险。
实物管理风险,实物管理风险,关键风险点,中,1.货物长期堆放造成锈蚀、变形等质量异议无法销售的风险；2.货物到货后单据没有欧冶货权标注，导致实物货主信息不明确的风险；3.货物堆放混乱且无安全通道，导致盘库困难难以确权的风险。
仓库监管风险,仓库监管风险,关键风险点,高,1.营销人员擅自发出出入库和运输指令，造成控货风险；2.仓库发生异常，欧冶物流监管不力未及时发现的风险；3.仓库配合度差，欧冶物流没有货物实际控制能力的风险。
应急处置风险,应急处置风险,关键风险点,中,应急处置不及时或处置不当导致损失扩大的风险。
货物出库风险,货物出库风险,关键风险点,中,客户伪造提单直接提货、在无法确认货权的情况下进行转库、过磅超发或未按提单量发货，存在货物控货的风险。
库存超期风险,库存超期风险,关键风险点,中,仓库出现出入库数据异常，存在欺诈和确权的风险。
结算价格风险,结算价格风险,关键风险点,中,因为合同价格条款不清晰、不能及时掌握供方价格政策，导致公司利益受损的风险。
采购发票风险,采购发票风险,关键风险点,低,因采购发票录入前未按照供方结算政策进行核对，易造成结算配单错误的风险。因为采购发票抵扣及提交不及时，造成公司税务损失的风险。
增值税进销项管理风险,增值税进销项管理风险,关键风险点,低,增值税进销项管理不当导致公司利益受损的风险。
采购结算风险,采购结算风险,关键风险点,中,1.因供应商开票或采购结算不及时，导致欧冶进项税不足、货物安全被威胁不能被及时发现的风险。
采购价差核对风险,采购价差核对风险,关键风险点,低,因采购价差出错导致销售结算价格错误、客户满意度下降及公司利润受损的风险。
客户折扣生成风险,客户折扣生成风险,关键风险点,低,客户折扣延迟生成、重复生成、错误生成，返利返差折扣分配错误导致影响客户体验或公司利益受损的风险。
销售发票结算风险,销售发票结算风险,关键风险点,中,1.销售超期未结算，导致客户满意度下降，业务量缩减甚至客户流失的风险。2.销售合同正折扣未生效，直接向客户开票，如客户无业务合作，将造成客户拒绝继续补款、客户拒绝接受无重量发票及公司利润受损的风险。
质量异议风险,质量异议风险,关键风险点,低,1.因质量异议处理人员与供方或客户沆瀣一气，导致质量理赔不公平、交易对方或公司利益受损的风险。2.统购分销业务因供方赔付金额低于公司赔付客户金额或供方超期不予赔付，造成公司利益受损的风险。
毛利核算风险,毛利核算风险,关键风险点,中,毛利异常未及时发现导致公司利益受损的风险。
定期对账风险,定期对账风险,关键风险点,低,未定期对账，导致账目混乱、出现呆账、坏账的风险。
钢厂余款处理风险,钢厂余款处理风险,关键风险点,低,钢厂退款周期过长，造成资金长期被占用的风险。跨区域在开展统购分销业务时，余款未在释放后即刻转订货使用，造成资金沉淀风险。
客户退款风险,客户退款风险,关键风险点,低,后结算业务存在钢厂余款未退回我司账户，但我司已对客户退款的风险。
合同结案风险,合同结案风险,关键风险点,低,合同提前结案导致客户资金提前被释放的风险。
业务归档风险,业务归档风险,关键风险点,低,1.归档合同与系统合同不一致、归档合同不完整、合同未签字导致与供方或客户发生合同纠纷时，公司无法拿出有效的法律凭证；2.重要线下业务单据未归档，导致超授权开展业务无相关审批依据的风险。
